ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
22;11;3;krádeže vlámaním                        ; 3 695; 1 253;  34; 11 102;  258;  113;  8;  65;  298; 1 675;  115;  347;  119;  7
22;12;3;   - škoda značná a vyššia              ;  45;  7;  16; 5 190;  7;  ;  ;  ;  1;  22;  ;  1;  ;  
22;13;3;   - do obchodov a výkl.skríň           ;  389;  137;  35; 2 176;  23;  28;  3;  6;  40;  198;  13;  41;  28;  2
22;14;3;       - škoda značná a vyššia          ;  6;  ;  ; 1 426;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
22;15;3;   - do reštaurácií a stánkov           ;  223;  109;  49;  209;  18;  17;  1;  4;  29;  124;  9;  29;  14;  1
22;16;3;       - škoda značná a vyššia          ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
22;17;3;   - do bytov                           ;  715;  331;  46; 3 975;  94;  38;  2;  16;  68;  427;  27;  93;  45;  2
22;18;3;       - škoda značná a vyššia          ;  22;  5;  23; 2 567;  3;  ;  ;  ;  1;  15;  ;  1;  ;  
22;19;3;   - do rekreačných chát                ;  277;  68;  25;  269;  13;  6;  ;  1;  16;  106;  3;  18;  3;  
22;20;3;       - škoda značná a vyššia          ;  1;  ;  ;  26;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
22;21;3;krádeže ostatné                         ; 12 120; 6 401;  53; 23 133;  287;  542;  9;  259;  715; 6 463;  282;  684;  518;  9
22;22;3;   - motorových vozidiel                ; 1 042;  511;  49; 9 611;  55;  76;  1;  4;  112;  530;  4;  114;  63;  2
22;23;3;   - vecí a súčiastok z áut             ; 1 650;  266;  16; 2 946;  32;  8;  3;  13;  30;  260;  14;  21;  11;  3
22;24;3;   - v bytoch                           ;  621;  287;  46; 1 652;  29;  18;  ;  4;  27;  312;  5;  26;  17;  
22;25;3;ostatné majetkové                       ; 3 768; 1 345;  36; 4 343;  112;  289;  7;  114;  201; 1 520;  167;  232;  275;  6
22;;4;OSTATNÁ  KRIMINALITA                    ; 7 293; 5 789;  79; 8 719;  386;  723;  76;  65;  233; 6 864;  79;  252;  585;  73
22;26;4;výtržníctvo                             ; 1 045;  831;  80;  10;  62;  317;  4;  42;  117; 1 125;  51;  142;  347;  4
22;27;4;požiare a výbuchy                       ;  377;  74;  20; 8 355;  23;  18;  ;  13;  6;  107;  15;  8;  16;  
22;28;4;drogy                                   ; 1 723; 1 252;  73;  ;  182;  48;  66;  1;  76; 1 443;  1;  71;  44;  64
22;29;4;    - omamné,psychotrop.látky           ;  757;  562;  74;  ;  92;  14;  31;  ;  33;  706;  ;  32;  14;  32
22;30;4;    - šírenie toxikománie               ;  44;  34;  77;  ;  2;  1;  2;  1;  3;  33;  1;  2;  1;  1
22;31;4;nedovolené ozbrojovanie                 ;  349;  185;  53;  3;  30;  10;  1;  1;  ;  195;  1;  ;  8;  1
22;;5;ZOSTÁVAJÚCA KRIMINALITA                 ; 11 990; 10 046;  84; 16 590;  841; 4 754;  86;  24;  85; 10 764;  36;  81; 4 654;  68
22;32;5;dopravné nehody cestné                  ; 1 661; 1 138;  69; 2 185;  308;  162;  8;  5;  10; 1 427;  6;  9;  148;  8
22;33;5;ohroz. pod vplyvom návyk.látok          ; 4 648; 4 575;  98;  620;  40; 4 538;  77;  ;  35; 4 518;  ;  32; 4 457;  60
22;34;5;t.č. vojenské a proti republ.           ;  9;  2;  22;  44;  ;  ;  ;  ;  ;  1;  ;  ;  ;  
22;;6;EKONOMICKÁ  KRIMINALITA                 ; 13 326; 6 757;  51; 420 322; 1 353;  49;  2;  34;  109; 7 859;  35;  112;  43;  2
22;35;6;skrátenie dane                          ; 5 713; 4 085;  72; 220 602;  580;  4;  ;  ;  2; 4 337;  ;  2;  4;  
22;36;6;krádež                                  ;  21;  18;  86;  159;  2;  ;  ;  ;  1;  38;  ;  4;  ;  
22;37;6;ochrana meny                            ; 1 125;  33;  3;  78;  1;  ;  ;  3;  4;  45;  4;  4;  ;  
22;38;6;ohroz.devízového hospod.                ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
22;39;6;korupcia                                ;  136;  75;  55;  ;  13;  2;  ;  ;  ;  105;  ;  ;  2;  
22;40;6;sprenevera                              ;  486;  341;  70; 8 829;  95;  ;  1;  2;  1;  427;  2;  1;  ;  1
22;41;6;podvod                                  ; 1 890;  667;  35; 57 380;  326;  2;  1;  ;  9;  920;  ;  14;  2;  1
22;42;6;poruš.autorských práv                   ;  48;  14;  29; 2 146;  4;  2;  ;  ;  ;  17;  ;  ;  1;  
21;;1;NÁSILNÁ  KRIMINALITA                    ; 5 781; 4 413;  76; 14 424;  325; 1 729;  21;  84;  297; 4 910;  116;  335; 1 719;  20
21;1;1;vraždy                                  ;  67;  46;  69;  ;  13;  13;  3;  ;  1;  61;  ;  1;  13;  3
21;2;1;lúpeže                                  ;  475;  340;  72;  539;  32;  63;  2;  28;  103;  510;  46;  129;  77;  3
21;3;1;násilie na verej.činit.                 ;  213;  194;  91;  5;  11;  104;  1;  ;  5;  204;  ;  5;  100;  1
21;4;1;      - z toho na policajtovi           ;  167;  154;  92;  5;  9;  88;  ;  ;  4;  157;  ;  4;  83;  
21;5;1;úmyslené ublíženie na zdraví            ; 1 599; 1 142;  71;  20;  148;  381;  1;  25;  113; 1 433;  29;  124;  412;  1
21;6;1;s rasovým mot.,extrémizmus              ;  159;  80;  50;  3;  26;  15;  ;  ;  3;  82;  ;  3;  17;  
21;7;1;organizovaný zločin                     ;  46;  27;  59; 26 260;  20;  ;  1;  ;  3;  252;  ;  3;  ;  4
21;;2;MRAVNOSTNÁ  KRIMINALITA                 ; 1 122;  735;  66;  ;  94;  54;  ;  51;  270;  751;  50;  277;  48;  
21;8;2;znásilnenie                             ;  99;  62;  63;  ;  6;  12;  ;  1;  11;  61;  1;  11;  10;  
21;9;2;pohlavné zneužívanie                    ;  491;  379;  77;  ;  39;  12;  ;  31;  205;  412;  31;  217;  11;  
21;10;2;obchodovanie s ľuďmi                    ;  28;  15;  54;  ;  9;  ;  ;  ;  1;  47;  ;  1;  ;  
21;;3;MAJETKOVÁ  KRIMINALITA                  ; 21 787; 9 545;  44; 42 283;  657;  948;  15;  458; 1 357; 10 228;  595; 1 316;  920;  13
21;11;3;krádeže vlámaním                        ; 4 529; 1 471;  32; 14 179;  237;  106;  3;  63;  323; 1 868;  107;  345;  124;  3
21;12;3;   - škoda značná a vyššia              ;  54;  5;  9; 6 868;  6;  ;  ;  ;  1;  18;  ;  1;  ;  
